Page ID,Page name,Disclaimer,Amount spent (CLP),Number of ads in Library
300345197052910,Pablo Gutierrez Core,Germán Antonio Sepúlveda Mellado,52921,18
101726669192958,nacionalidad_alemana_hoy_21,These ads ran without a disclaimer,52896,3
104824792608042,Fresia Sepúlveda Hanckes,Eduardo Vicente Esteffan Sepúlveda,52299,7
114040660504777,Eleonora Espinoza Consejera Constitucional,Eleonora Esther Espinoza Hernández,51836,1
1880363765543549,Juan Ignacio Latorre Senador,Juan Ignacio Latorre Senador,51556,3
204430603582,La Tercera,These ads ran without a disclaimer,51260,4
126170624336,Amnistía Internacional - Chile,Amnistía Internacional Chile,50938,5
128647447236348,ricardo rabanal bustos,Ricardo Ignacio Rabanal Bustos,50842,5
391338058160314,Desafío Chile Sin Basura,Benjamín Jose Cruz Pacheco,50000,1
301596847064228,Emergencias Araucania,Alejandro Tomas Martini Iriarte,50000,1
833378750055074,Estación Araucanía 91.5 FM,Alejandro Tomas Martini Iriarte,50000,1
110309894432662,Gerald Castillo - Concejal Ovalle,Héctor Rene Baeza Olivares,49826,5
239724839481005,Municipalidad de Vicuña,Brecha Digital Consultores,48895,7
109626371709961,Salmones Austral,Salmones Austral,48284,10
173417548106840,Natalia Romero,Natalia Angelica Romero Talguia,48082,3
109064301582321,Pedro Vasquez Neira. VOTA B8,Pedro Andrés Vásquez Neira,47987,1
206881239344602,Mercedes-Benz Kaufmann Chile,These ads ran without a disclaimer,47761,4
211625929000469,Jaime Escudero,Jaime Escudero,45652,18
1140435596103153,Asociación Chilena de Municipalidades,Asociación Chilena de Municipalidades,45399,1
106294378574590,Análisis con Patricio Altamirano,Pablo Ignacio Güiza Illanes,45000,3
101777549186318,convocacion,These ads ran without a disclaimer,44542,4
279912778871515,Ximena Ossandon Diputada,Maria Ximena Ossandon Irarrazabal,42280,1
100407462996006,Camila Torres Constituyente,Nelson Julián Miranda Gómez,41963,2
332967387146069,Diputado Andrés Celis Montt,Andrés Celis Montt,41703,3
106580054753486,Krist Naranjo Gobernadora Independiente Región  De Coquimbo,Krist Pia NIcole Naranjo Peñaloza,41323,16
285802245163038,Concejal Nicolás Alvarez Vargas,Héctor Nicolas Alvarez Vargas,41078,4
1147280035388437,ARAUCO,These ads ran without a disclaimer,41035,1
376515412420057,GabrielBenelli,Gabriel Alejandro Benelli Paredes,40230,1
110240400702459,Andrés Giordano - Diputado por el Distrito 9,Andrés Giordano,40000,1
761606963919174,Somos Aclara,Somos Aclara,39883,6
922533087852291,Luis Malla Diputado,Luis Fabián Malla Valenzuela,38036,4
108145794246480,El Espectador de Ñuble,El Espectadoor de Ñuble,37710,7
107678795639792,Ernesto Antonio Vera Rodríguez,Ernesto Vera,37613,9
120681665990497,Ceroplas,These ads ran without a disclaimer,36978,1
124224143270,Hogar de Cristo,These ads ran without a disclaimer,36951,2
2535216276502759,Beeok,Beeok,36207,1
139364253859,Clínica Ciudad del Mar I Salud en Todo Momento,B&A,36207,1
985907368127445,CUT Chile,Central Unitaria de Trabajadores y Trabajadoras - CUT Chile,35544,1
438330923602981,Libres Chile,Libres Chile,35460,6
638298683189782,Topclass Academy,These ads ran without a disclaimer,34962,1
343265652503533,Municipalidad de Puchuncaví,Ilustre Municipalidad de Puchuncaví,34719,5
133994506616486,Cinemark Chile,These ads ran without a disclaimer,34598,1
671262362900569,Red de Salud UC CHRISTUS,These ads ran without a disclaimer,34598,2
