Page ID,Page name,Disclaimer,Amount spent (CRC),Number of ads in Library
125874504101787,Emprendedor.com,These ads ran without a disclaimer,539,2
985173398241132,Gloria Bournigal,These ads ran without a disclaimer,539,2
101510665889084,Tapon-Estilo explosivo novela,These ads ran without a disclaimer,539,6
285896596755,Fight the New Drug,These ads ran without a disclaimer,539,1
111153260586411,LivEnglish Curso OnLine,These ads ran without a disclaimer,539,1
105741532048451,Fluffy Worldwide,These ads ran without a disclaimer,533,64
113919344931161,Chicharronera Mauricios,These ads ran without a disclaimer,519,1
102984361463961,Igrow Academy,These ads ran without a disclaimer,517,11
106479318153202,climatetracker_es,These ads ran without a disclaimer,517,6
103758944688614,boarderchik87,These ads ran without a disclaimer,517,1
68793499001,UNICEF,These ads ran without a disclaimer,512,4
102394101663244,Romance L i b r a r y,These ads ran without a disclaimer,496,1
250846898301272,Chicos.net,These ads ran without a disclaimer,485,2
150294649018041,Julia Murça,These ads ran without a disclaimer,484,1
271720906203720,OIM México,These ads ran without a disclaimer,478,3
102035035940569,Da Vida a la Vida,These ads ran without a disclaimer,477,4
121350964566751,DHL Motorsports,These ads ran without a disclaimer,476,11
101954335181277,fridaa.kaa,These ads ran without a disclaimer,470,1
358442097543367,Materia,These ads ran without a disclaimer,458,11
310082752437679,Alvaro Reyes,These ads ran without a disclaimer,452,2
1921876544600067,Comunidad Mujeres Empoderadas,These ads ran without a disclaimer,426,1
288728395387167,Revista Abril,These ads ran without a disclaimer,426,9
285530825204,Klitschko,These ads ran without a disclaimer,422,67
479285342097950,AeroTime,These ads ran without a disclaimer,420,5
1220291791332365,Mario Ruiz Salas,These ads ran without a disclaimer,419,1
132132240203036,INSTITUTO GASTRONOMICO REBECCA'S CUISINE,These ads ran without a disclaimer,415,1
105073207967492,CTG Perú,These ads ran without a disclaimer,404,4
7163962142,theory11,These ads ran without a disclaimer,404,12
108961091959525,Ola Centro Médico,These ads ran without a disclaimer,401,1
1721571661286608,Yulsfmpodcast,These ads ran without a disclaimer,388,2
104099512361482,Funnies Now - Magazine,These ads ran without a disclaimer,383,18
108663558065802,La chica del Pañuelo Púrpura,These ads ran without a disclaimer,382,1
317463093373,The Akshaya Patra Foundation,These ads ran without a disclaimer,381,1
100510118924848,sonemosconcrecer,These ads ran without a disclaimer,373,1
274394006605216,History A2Z Magazine,These ads ran without a disclaimer,372,5
747420075340256,El Agricultor Primero,These ads ran without a disclaimer,368,11
102613876068335,mammadov.fuad.f,These ads ran without a disclaimer,366,1
103828309016209,Estudia inglés con Fluency Academy,These ads ran without a disclaimer,366,1
1732010193697931,Asociación Pro Hospital San Rafael de Alajuela,These ads ran without a disclaimer,365,1
227622537655549,CGTN en Español,These ads ran without a disclaimer,361,13
292129440851133,CropLife Latin America,These ads ran without a disclaimer,347,17
422961008105961,Brigada Animal México,These ads ran without a disclaimer,346,1
105900552270698,Sofia Adara,These ads ran without a disclaimer,345,9
148475051852754,Rockefeller Foundation,These ads ran without a disclaimer,339,6
110559431842448,Academia de Danza Maria Isabel Angel,These ads ran without a disclaimer,331,4
