Page ID,Page name,Disclaimer,Amount spent (BMD),Number of ads in Library
107828158232221,CCCC First Highway Engineering Group,These ads ran without a disclaimer,≤100,1
169098456873139,BESV,These ads ran without a disclaimer,≤100,1
105741532048451,Fluffy Worldwide,These ads ran without a disclaimer,≤100,11
10750083165,The Africa Report,These ads ran without a disclaimer,≤100,7
339955649716919,NewsSense,These ads ran without a disclaimer,≤100,1
154680184946903,Superplastic,These ads ran without a disclaimer,≤100,1
105480455297597,Johnson & Johnson Medical Devices Brasil,These ads ran without a disclaimer,≤100,1
109066328770664,Magic1420-01,These ads ran without a disclaimer,≤100,1
8539814909,International Animal Rescue,These ads ran without a disclaimer,≤100,7
107153118581334,Pravda info,These ads ran without a disclaimer,≤100,1
1169608513188962,Smple,These ads ran without a disclaimer,≤100,1
100276738975384,Glow Up Club,These ads ran without a disclaimer,≤100,1
13001924893,Fondation Prince Albert II de Monaco,These ads ran without a disclaimer,≤100,1
362991517395753,Cinzia Signoretti - Fantasticane,These ads ran without a disclaimer,≤100,1
100910104737405,"Zhejiang Zenbo Intelligent Machinery Co.,Ltd.",These ads ran without a disclaimer,≤100,1
343786409509707,The East Gate,These ads ran without a disclaimer,≤100,1
457773217702135,ConvertKit,These ads ran without a disclaimer,≤100,5
329527283769265,Razor-N-Tape,These ads ran without a disclaimer,≤100,1
137357969666256,GCN,These ads ran without a disclaimer,≤100,1
598705943508458,ADB Publications,These ads ran without a disclaimer,≤100,1
101956255632720,Jessica's Green Channel,These ads ran without a disclaimer,≤100,1
110839298285111,Portal Mel Cajuina,These ads ran without a disclaimer,≤100,1
100773438987835,Standard Industries,These ads ran without a disclaimer,≤100,4
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,UNICEF,≤100,2
195799657105195,SEGi University & Colleges,These ads ran without a disclaimer,≤100,14
107666761120840,Pepe Misterio,These ads ran without a disclaimer,≤100,1
109411128386535,Ocean Collective,These ads ran without a disclaimer,≤100,1
102497746096944,WiN FUND,These ads ran without a disclaimer,≤100,1
110322744888755,Trendyspread shop,These ads ran without a disclaimer,≤100,5
288558181158008,"Rigzone.com is The Leader in Oil & Gas Jobs, News, Oil Prices, and Events.",These ads ran without a disclaimer,≤100,1
412409048849179,Behold Israel,These ads ran without a disclaimer,≤100,5
185139171667,Daymond John,These ads ran without a disclaimer,≤100,1
105192912210418,Moto Demic,These ads ran without a disclaimer,≤100,1
440459709390224,Hitachi Energy,These ads ran without a disclaimer,≤100,1
260401648038890,Science101,These ads ran without a disclaimer,≤100,1
1096538887134446,Reuters Plus,These ads ran without a disclaimer,≤100,2
110326954969976,Funky Geeks,These ads ran without a disclaimer,≤100,1
102498564631055,Asharq News الشرق للأخبار,These ads ran without a disclaimer,≤100,1
104181035763790,Helena Fernandes,These ads ran without a disclaimer,≤100,1
102342747923923,Researchpod,These ads ran without a disclaimer,≤100,3
1438220682910088,Pandaily,These ads ran without a disclaimer,≤100,2
64982236830,Alumni Association of the University of Michigan,These ads ran without a disclaimer,≤100,2
112177278825671,King's College London Alumni,These ads ran without a disclaimer,≤100,4
102984361463961,Igrow Academy,These ads ran without a disclaimer,≤100,1
106528855197213,Yes Please,These ads ran without a disclaimer,≤100,3
109698558338778,Paneles Solares y Energía Renovable,These ads ran without a disclaimer,≤100,1
7163962142,theory11,These ads ran without a disclaimer,≤100,7
102502875933803,Royal Watch,These ads ran without a disclaimer,≤100,2
100444186236886,Clearlove004,These ads ran without a disclaimer,≤100,1
351671375760473,The GCCA,These ads ran without a disclaimer,≤100,1
106325695626132,LushReads,These ads ran without a disclaimer,≤100,1
102678788085,YouNoodle,These ads ran without a disclaimer,≤100,1
147563615345539,ONE Billion Literates Foundation,These ads ran without a disclaimer,≤100,1
104571188687767,Chill Read,These ads ran without a disclaimer,≤100,1
101054365776547,Charming Changzhou,These ads ran without a disclaimer,≤100,3
110993941170214,ChidoBook,These ads ran without a disclaimer,≤100,1
100782035444685,palmglobalconsulting,These ads ran without a disclaimer,≤100,1
523743974671830,Proutist Universal,These ads ran without a disclaimer,≤100,1
105617762861259,OPS Objects,These ads ran without a disclaimer,≤100,1
111160730747637,Trivia Stars,These ads ran without a disclaimer,≤100,1
102890927791797,Customized Culture,These ads ran without a disclaimer,≤100,4
101037134713926,Avrio Legal Group,These ads ran without a disclaimer,≤100,1
414426511932868,"Trump International, Scotland",These ads ran without a disclaimer,≤100,1
104725148675365,Chilli Chill,These ads ran without a disclaimer,≤100,1
102105095305905,Society of Modern Sciences,These ads ran without a disclaimer,≤100,1
109872218653593,American SolarX,These ads ran without a disclaimer,≤100,1
538294740439787,Falafel And Caviar Time,These ads ran without a disclaimer,≤100,1
104404948072,Ema Arius,These ads ran without a disclaimer,≤100,2
100641874781663,Jessi Jo Montgomery,These ads ran without a disclaimer,≤100,1
109199990922141,Health & Wellness News,These ads ran without a disclaimer,≤100,1
730238507162118,Cryptonary,These ads ran without a disclaimer,≤100,2
355096392156850,Our Funny Little Site Fun,These ads ran without a disclaimer,≤100,1
427747764026807,ShanghaiEye,These ads ran without a disclaimer,≤100,1
111131098177941,Help Ukraine,These ads ran without a disclaimer,≤100,1
100338301547923,Instantly Modern,These ads ran without a disclaimer,≤100,1
105280684938489,KnowledgeVerse,These ads ran without a disclaimer,≤100,2
107209068619151,Știrile Pe Care Nu Le Vezi La TV,These ads ran without a disclaimer,≤100,2
105558698809934,SRNE Solar,These ads ran without a disclaimer,≤100,3
112240047726713,Silk Maison,These ads ran without a disclaimer,≤100,6
103253664825946,Souria Post - سوريا بوست,These ads ran without a disclaimer,≤100,1
106068488158725,Graduatez - College Journey,These ads ran without a disclaimer,≤100,3
121027706313,GlobalSpec,These ads ran without a disclaimer,≤100,1
102415047928145,Shanghai Electric,These ads ran without a disclaimer,≤100,3
285530825204,Klitschko,These ads ran without a disclaimer,≤100,55
678094802296447,AHR Group,These ads ran without a disclaimer,≤100,2
137704262972584,MobiHealthNews,These ads ran without a disclaimer,≤100,1
106802041266795,Trip Thunder,These ads ran without a disclaimer,≤100,2
